VISA,URL,SECTION,DESCRIPTION
Aufenthaltserlaubnis für Fachkräfte mit akademischer Ausbildung,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/329328/,ERFORDERLICHE UNTERLAGEN,"Gültiger Pass                                




                                        1 aktuelles biometrisches Foto


                                    35mm x 45mm, Frontalaufnahme mit neutralem Gesichtsausdruck und geschlossenem Mund gerade in die Kamera blickend, heller Hintergrund                                



                                Arbeitsvertrag (im Original)                                



                                Nachweis der Qualifikation als Fachkraft mit akademischer Ausbildung                                

                                    Nachweise (im Original) über
einen deutschen Hochschulabschluss, Hochschulzeugnis odereinen anerkannten ausländischen Hochschulabschluss, Bewertung in der Anabin-Datenbank odereinen ausländischen Hochschulabschluss, der einem deutschen Hochschulabschluss vergleichbar ist, individuelle und gebührenpflichtige Bewertung der ZABMehr zum Thema im Abschnitt „Weiterführende Informationen“                                



                                Formular Erklärung zum Beschäftigungsverhältnis (ausgefüllt)                                



                                Formular Antrag auf Erteilung eines Aufenthaltstitels (ausgefüllt)                                

                                    Nur bei der ersten Beantragung / Erteilung der Aufenthaltserlaubnis erforderlich.                                



                                Berufsausübungserlaubnis                                

                                    Nur wenn erforderlich (siehe Voraussetzungen)                                



                                Mietvertrag oder Kaufvertrag mit Angabe der Wohnfläche                                

                                    Im Original                                



                                Wohnkosten                                

                                    Nachweise über die monatlichen Mietkosten (z.B. aktueller Kontoauszug) oder Kosten der bewohnten Immobilie (im Original)                                



                                Arbeitsbescheinigung (Nur bei Verlängerung der Aufenthaltserlaubnis)                                

                                    Bescheinigung des Arbeitgebers über die Dauer des ungekündigten Arbeitsverhältnisses (nicht älter als 14 Tage)                                



                                Gehaltsnachweise: Bei Verlängerung der Aufenthaltserlaubnis für die weitere Beschäftigung beim selben Arbeitgeber                                 

                                    Nachweise über den Nettoverdienst der ersten 2 und der letzten 2 Monate                                



                                Nachweis über Ihre Krankenversicherung                                 

                                    bei einer gesetzlichen Krankenversicherung:
elektronische Gesundheitskarte mit Fotoaktuelle Bestätigung der Krankenversicherung
bei einer privaten Krankenversicherung:
Nachweis, dass Sie Ihre Beiträge gezahlt haben, zum Beispiel durch Konto-AuszügeBescheinigung des VersicherersDie Bescheinigung muss Art, Umfang und Dauer der Versicherung nennen. Bitte weisen Sie Ihren Versicherer darauf hin, dass Sie die Bescheinigung für einen Aufenthaltstitel zur Erwerbstätigkeit brauchen.

Mehr zum Thema im Abschnitt „Weiterführende Informationen“                                



                                Nachweis über den Hauptwohnsitz in Berlin                                 

Bescheinigung über die Anmeldung der Wohnung (Meldebestätigung) oderMietvertrag und Einzugsbestätigung des Vermieters
Mehr zum Thema im Abschnitt „Weiterführende Informationen“"
Aufenthaltserlaubnis für Fachkräfte mit akademischer Ausbildung,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/329328/,FORMULARE,"Erklärung zum Beschäftigungsverhältnis (Stellenbeschreibung)





                                        Antrag auf Erteilung eines Aufenthaltstitels (Deutsch-Englisch-Französisch-Italienisch)





                                        Antrag auf Erteilung eines Aufenthaltstitels (Deutsch-Griechisch-Türkisch-Vietnamesisch)





                                        Antrag auf Erteilung eines Aufenthaltstitels (Deutsch-Spanisch-Portugiesisch-Russisch)





                                        Antrag auf Erteilung eines Aufenthaltstitels (Deutsch-Serbisch-Bosnisch)





                                        Merkblatt Krankenversicherung"
Aufenthaltserlaubnis für Fachkräfte mit akademischer Ausbildung,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/329328/,GEBÜHREN,"100,00 Euro: Für die erstmalige Erteilung96,00 Euro: Für die Verlängerung um bis zu drei Monate93,00 Euro: Für die Verlängerung um mehr als drei MonateTürkische Staatsangehörige (sowohl für die erste Erteilung als auch für die Verlängerung):
22,80 Euro: bis zum vollendeten 24. Lebensjahr37,00 Euro: ab dem vollendeten 24. LebensjahrFalls Sie eine Zeugnisbewertung brauchen, entstehen dafür zusätzlich Kosten."
Aufenthaltserlaubnis für Fachkräfte mit akademischer Ausbildung,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/329328/,RECHTSGRUNDLAGEN,"Aufenthaltsgesetz (AufenthG) § 18





                                        Aufenthaltsgesetz (AufenthG) § 18b Absatz 1"
Aufenthaltserlaubnis für Fachkräfte mit akademischer Ausbildung,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/329328/,DURCHSCHNITTLICHE BEARBEITUNGSZEIT,"Da die Aufenthaltserlaubnis als elektronischer Aufenthaltstitel ausgestellt wird, empfiehlt sich die Vorsprache 8 Wochen vor Ablauf des bisherigen Aufenthaltstitels."
Aufenthaltserlaubnis für Fachkräfte mit akademischer Ausbildung,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/329328/,WEITERFÜHRENDE INFORMATIONEN,"ZAB-Datenbank „anabin“ über ausländische Hochschul-Abschlüsse 





                                    ZAB-Zeugnisbewertung für ausländische Hochschulqualifikationen 





                                    Bescheinigung über die Anmeldung einer Wohnung (Meldebestätigung)





                                    Muster: Einzugsbestätigung des Vermieters"
Aufenthaltserlaubnis für Fachkräfte mit akademischer Ausbildung,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/329328/,ZUSTÄNDIGE BEHÖRDEN,"Diese Dienstleistung kann nur beim Landesamt für Einwanderung (LEA), am Standort Berlin-Charlottenburg, Keplerstraße 2 in Anspruch genommen werden.                




Landesamt für Einwanderung (LEA)




LEA, Keplerstr.
Termin buchen

Weitere zuständige Behörden für diese Dienstleistung im zentralen Service-Portal anzeigen."
Aufenthaltserlaubnis für Fachkräfte mit Berufsausbildung,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/305304/,VORAUSSETZUNGEN,"Arbeitsvertrag oder konkretes Arbeitsplatzangebot                                


                                    Es sollte bereits ein Arbeitsvertrag vorliegen, mindestens aber ein Entwurf.                                



                                Beschäftigung im Inland                                


                                    Das Beschäftigungsverhältnis muss in Deutschland bestehen.
Zudem ist eine Betriebsstätte des Arbeitgebers in Deutschland erforderlich.                                



                                Zustimmung der Bundesagentur für Arbeit                                


                                    Eine Aufenthaltserlaubnis zum Zweck der Beschäftigung kann in der Regel nur erteilt werden, wenn die Bundesagentur für Arbeit zugestimmt hat.                                



                                Berufsausübungserlaubnis                                


                                    Ist für eine Berufsausübung eine Erlaubnis vorgeschrieben (z.B. Krankenpflege), muss das Vorliegen dieser Erlaubnis bzw. deren Zusage vor Erteilung der Aufenthaltserlaubnis nachgewiesen werden.                                



                                Gleichwertigkeit der Qualifikation                                


                                    Für die Aufenthaltserlaubnis als Fachkraft ist der Besitz eines deutschen Berufsabschlusses nach einer mindestens 2-jährigen Ausbildung oder der Besitz einer gleichwertigen ausländischen Berufsqualifikation notwendig.
In der Regel muss eine ausländische Berufsqualifikation von einer Anerkennungsstelle geprüft und die Gleichwertigkeit festgestellt werden.
Mehr zum Thema im Abschnitt „Weiterführende Informationen“                                



                                Angemessene Altersversorgung (nur, wenn Sie das 45. Lebensjahr bereits vollendet haben)                                 


                                    Für die Erteilung der Aufenthaltserlaubnis als Fachkraft ist in der Regel ab dem vollendeten 45. Lebensjahr der Besitz einer angemessenen Altersversorgung notwendig.
Das Gehalt muss deshalb mindestens 55 Prozent der jährlichen Bemessungsgrenze in der allgemeinen Rentenversicherung entsprechen. Für das Jahr 2023 entspricht dies einem monatlichen Einkommen von mindestens 4.015,00 Euro brutto.Das Gehalt kann niedriger sein, wenn bereits aus anderen öffentlichen oder privaten Quellen eine angemessene Altersvorsorge sichergestellt ist. 



                                Hauptwohnsitz in Berlin                                




                                Persönliche Vorsprache ist erforderlich                                


                                    Bitte vereinbaren Sie dazu einen Termin."
Aufenthaltserlaubnis für Fachkräfte mit Berufsausbildung,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/305304/,ERFORDERLICHE UNTERLAGEN,"Gültiger Pass                                




                                        1 aktuelles biometrisches Foto


                                    35mm x 45mm, Frontalaufnahme mit neutralem Gesichtsausdruck und geschlossenem Mund gerade in die Kamera blickend, heller Hintergrund                                



                                Arbeitsvertrag (im Original)                                



                                Nachweis der Qualifikation als Fachkraft mit Berufsausbildung                                

                                    Nachweise (im Original) über
eine abgeschlossene deutsche Berufsausbildung, Mindestdauer 2 Jahre, odereine als gleichwertig anerkannte ausländische Berufsqualifikation (Anerkennungsbescheid)Mehr zum Thema im Abschnitt „Weiterführende Informationen“                                



                                Formular Erklärung zum Beschäftigungsverhältnis (ausgefüllt)                                



                                Formular Antrag auf Erteilung eines Aufenthaltstitels (ausgefüllt)                                

                                    Nur bei der ersten Beantragung / Erteilung der Aufenthaltserlaubnis erforderlich.                                



                                Berufsausübungserlaubnis                                

                                    Nur wenn erforderlich (siehe Voraussetzungen)                                



                                Mietvertrag oder Kaufvertrag mit Angabe der Wohnfläche                                

                                    Im Original                                



                                Wohnkosten                                

                                    Nachweise über die monatlichen Mietkosten (z.B. aktueller Kontoauszug) oder Kosten der bewohnten Immobilie (im Original)                                



                                Arbeitsbescheinigung (Nur bei Verlängerung der Aufenthaltserlaubnis)                                

                                    Bescheinigung des Arbeitgebers über die Dauer des ungekündigten Arbeitsverhältnisses (nicht älter als 14 Tage)                                



                                Gehaltsnachweise: Bei Verlängerung der Aufenthaltserlaubnis für die weitere Beschäftigung beim selben Arbeitgeber                                

                                    Nachweise über den Nettoverdienst der ersten 2 und der letzten 2 Monate                                



                                Nachweis über Ihre Krankenversicherung                                 

                                    bei einer gesetzlichen Krankenversicherung:
elektronische Gesundheitskarte mit Fotoaktuelle Bestätigung der Krankenversicherung
bei einer privaten Krankenversicherung:
Nachweis, dass Sie Ihre Beiträge gezahlt haben, zum Beispiel durch Konto-AuszügeBescheinigung des VersicherersDie Bescheinigung muss Art, Umfang und Dauer der Versicherung nennen. Bitte weisen Sie Ihren Versicherer darauf hin, dass Sie die Bescheinigung für einen Aufenthaltstitel zur Erwerbstätigkeit brauchen.
Mehr zum Thema im Abschnitt „Weiterführende Informationen“                                



                                Nachweis über den Hauptwohnsitz in Berlin                                

Bescheinigung über die Anmeldung der Wohnung (Meldebestätigung) oderMietvertrag und Einzugsbestätigung des VermietersMehr zum Thema im Abschnitt „Weiterführende Informationen“"
Aufenthaltserlaubnis für Fachkräfte mit Berufsausbildung,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/305304/,FORMULARE,"Erklärung zum Beschäftigungsverhältnis (Stellenbeschreibung)





                                        Antrag auf Erteilung eines Aufenthaltstitels (Deutsch-Englisch-Französisch-Italienisch)





                                        Antrag auf Erteilung eines Aufenthaltstitels (Deutsch-Griechisch-Türkisch-Vietnamesisch)





                                        Antrag auf Erteilung eines Aufenthaltstitels (Deutsch-Spanisch-Portugiesisch-Russisch)





                                        Antrag auf Erteilung eines Aufenthaltstitels (Deutsch-Serbisch-Bosnisch)





                                        Merkblatt Krankenversicherung"
Aufenthaltserlaubnis für Fachkräfte mit Berufsausbildung,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/305304/,GEBÜHREN,"100,00 Euro: für die erstmalige Erteilung96,00 Euro: für die Verlängerung um bis zu drei Monate93,00 Euro: für die Verlängerung um mehr als drei MonateTürkische Staatsangehörige (sowohl für die erste Erteilung als auch für die Verlängerung):
22,80 Euro: bis zum vollendeten 24. Lebensjahr37,00 Euro: ab dem vollendeten 24. Lebensjahr"
Aufenthaltserlaubnis für Fachkräfte mit Berufsausbildung,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/305304/,RECHTSGRUNDLAGEN,"Aufenthaltsgesetz (AufenthG) § 18





                                        Aufenthaltsgesetz (AufenthG) § 18a"
Aufenthaltserlaubnis für Fachkräfte mit Berufsausbildung,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/305304/,DURCHSCHNITTLICHE BEARBEITUNGSZEIT,"Da die Aufenthaltserlaubnis als elektronischer Aufenthaltstitel ausgestellt wird, empfiehlt sich die Vorsprache 8 Wochen vor Ablauf des bisherigen Aufenthaltstitels."
Aufenthaltserlaubnis für Fachkräfte mit Berufsausbildung,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/305304/,WEITERFÜHRENDE INFORMATIONEN,"Anerkennungsstellen (Das Informationsportal der Bundesregierung zur Anerkennung ausländischer Berufsqualifikationen)





                                    Bescheinigung über die Anmeldung einer Wohnung (Meldebestätigung)





                                    Muster: Einzugsbestätigung des Vermieters"
Aufenthaltserlaubnis für Fachkräfte mit Berufsausbildung,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/305304/,ZUSTÄNDIGE BEHÖRDEN,"Diese Dienstleistung kann nur beim Landesamt für Einwanderung (LEA), am Standort Berlin-Charlottenburg, Keplerstraße 2 in Anspruch genommen werden.                




Landesamt für Einwanderung (LEA)




LEA, Keplerstr.
Termin buchen



LEA, Zum Business Immigration Service (BIS)


Weitere zuständige Behörden für diese Dienstleistung im zentralen Service-Portal anzeigen."
Aufenthaltserlaubnis zur Arbeitsplatzsuche für Fachkräfte – Erteilung,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/324661/,VORAUSSETZUNGEN,"Wenn Sie einen ausländischen Hochschul-Abschuss haben: Der Hochschul-Abschluss muss in Deutschland anerkannt sein                                


                                    In der Online-Datenbank der Zentralstelle für ausländisches Bildungswesen (ZAB) kann eine Abfrage gehalten werden, ob der ausländische Hochschulabschluss in Deutschland anerkannt ist (siehe Abschnitt ""Weiterführende Informationen"").
Enthält die Datenbank keine aussagekräftige Information, sind Antragsteller verpflichtet, bei der ZAB eine individuelle, gebührenpflichtige  Bewertung ihres Abschlusses zu beantragen und diese vorzulegen (siehe Abschnitt ""Weiterführende Informationen"").                                



                                Hauptwohnsitz in Berlin                                




                                Persönliche Vorsprache ist erforderlich"
Aufenthaltserlaubnis zur Arbeitsplatzsuche für Fachkräfte – Erteilung,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/324661/,ERFORDERLICHE UNTERLAGEN,"Gültiger Pass                                




                                        1 aktuelles biometrisches Foto 


                                    35mm x 45mm, Frontalaufnahme mit neutralem Gesichtsausdruck und geschlossenem Mund gerade in die Kamera blickend, heller Hintergrund                                



                                Wenn Sie eine Fachkraft mit Berufsausbildung sind: Ausbildungszeugnis / Ausbildungszertifikat                                

                                    Bei einer ausländischen Berufsausbildung: in Originalsprache als amtlich beglaubigte Kopie und in deutscher Übersetzung als einfache Kopie                                



                                Wenn Sie eine Fachkraft mit akademischer Ausbildung sind: Ausländischer Hochschulabschluss                                

in Originalsprache als amtlich beglaubigte Kopie und in deutscher Übersetzung als einfache Kopieggf. Bewertung Ihres ausländischen Hochschulabschlusses (siehe im Abschnitt ""Voraussetzungen"") 



                                Wenn Sie in Deutschland studiert haben: Studienabschluss                                

                                    Abschlussurkunde, Zeugnis oder Bescheinigung Ihrer Hochschule über den erfolgreichen Abschluss Ihres Studiums                                



                                Wenn Ihre Forschungstätigkeit in Deutschland abgeschlossen ist: Unterlagen über die beendete Beschäftigung                                 



                                Wenn Sie in Deutschland eine qualifizierte Berufsausbildung erfolgreich abgeschlossen haben:                                 

                                    Deutsches Ausbildungszeugnis                                



                                Nach einem Aufenthalt in Deutschland zur Anerkennung Ihrer ausländischen Berufs-Qualifikation                                

                                    Bescheid der zuständigen Stelle über die erfolgreiche Anerkennung
Bei reglementierten Berufen: auch Berufsausübungserlaubnis                                



                                Krankenversicherung                                

                                    Eine Reisekrankenversicherung ist nur ausreichend, wenn Sie sich bisher nicht im Bundesgebiet aufgehalten haben und die Aufenthaltserlaubnis für maximal 12 Monate erteilt wird.
Bitte beachten Sie unser Merkblatt zur Krankenversicherung (siehe Abschnitt ""Weiterführende Informationen"").                                



                                Nachweis über gesicherten Lebensunterhalt                                 

                                    zum Beispiel Kontoauszüge, Abgabe einer Verpflichtungserklärung durch Dritte                                



                                Formular Antrag auf Erteilung eines Aufenthaltstitels                                 

                                    Nur bei Neueinreise und erstmaliger Beantragung erforderlich                                



                                Nachweis über den Hauptwohnsitz in Berlin                                

Bescheinigung über die Anmeldung der Wohnung (Meldebestätigung) oderMietvertrag und Einzugsbestätigung des VermietersMehr zum Thema im Abschnitt „Weiterführende Informationen"""
Aufenthaltserlaubnis zur Arbeitsplatzsuche für Fachkräfte – Erteilung,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/324661/,FORMULARE,"Antrag auf Erteilung eines Aufenthaltstitels (Deutsch-Englisch-Französisch-Italienisch)





                                        Antrag auf Erteilung eines Aufenthaltstitels (Deutsch-Griechisch-Türkisch-Vietnamesisch)





                                        Antrag auf Erteilung eines Aufenthaltstitels (Deutsch-Spanisch-Portugiesisch-Russisch)





                                        Antrag auf Erteilung eines Aufenthaltstitels (Deutsch-Serbisch-Bosnisch)"
Aufenthaltserlaubnis zur Arbeitsplatzsuche für Fachkräfte – Erteilung,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/324661/,GEBÜHREN,"100,00 EuroTürkische Staatsangehörige:
22,80 Euro: bis zum vollendeten 24. Lebensjahr37,00 Euro: ab dem vollendeten 24. Lebensjahr"
Aufenthaltserlaubnis zur Arbeitsplatzsuche für Fachkräfte – Erteilung,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/324661/,RECHTSGRUNDLAGEN,Aufenthaltsgesetz (AufenthG) § 20
Aufenthaltserlaubnis zur Arbeitsplatzsuche für Fachkräfte – Erteilung,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/324661/,DURCHSCHNITTLICHE BEARBEITUNGSZEIT,"Etwa 5-6 Wochen
Wir empfehlen deshalb eine Vorsprache 4 bis 6 Wochen bevor der bisherige Aufenthaltstitel abläuft. Buchen Sie dafür möglichst einen Termin."
Aufenthaltserlaubnis zur Arbeitsplatzsuche für Fachkräfte – Erteilung,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/324661/,WEITERFÜHRENDE INFORMATIONEN,"Online-Datenbank der ZAB zu ausländischen Hochschulabschlüssen





                                    Individuelle Zeugnisbewertungen der ZAB





                                    Bescheinigung über die Anmeldung einer Wohnung (Meldebestätigung)





                                    Muster: Einzugsbestätigung des Vermieters





                                    Merkblatt Krankenversicherung"
Aufenthaltserlaubnis zur Arbeitsplatzsuche für Fachkräfte – Erteilung,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/324661/,ZUSTÄNDIGE BEHÖRDEN,"Die Dienstleistung kann nur beim Landesamt für Einwanderung (LEA) am Standort Keplerstraße in Anspruch genommen werden.                




Landesamt für Einwanderung (LEA)




LEA, Keplerstr.
Termin buchen

Weitere zuständige Behörden für diese Dienstleistung im zentralen Service-Portal anzeigen."
Aufenthaltserlaubnis für wissenschaftliche Mitarbeiter und Forscher,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/328457/,VORAUSSETZUNGEN,"Beschäftigung an einer Forschungseinrichtung                                


                                    Forschungseinrichtungen im Sinne des Aufenthaltsgesetzes sind insbesondere:
Forschungseinrichtungen, die durch das Bundesamt für Migration und Flüchtlinge anerkannt wurden,Unternehmen oder private Einrichtungen, die das Forschungsvorhaben gemeinsam mit einer öffentlichen Einrichtung betreiben oder eine dort begonnene Forschung fortsetzen oderAusgründungen aus einer öffentlichen Forschungseinrichtung. 



                                Aufnahmevereinbarung oder ein entsprechender Vertrag                                


                                    Es kann entweder eine Aufnahmevereinbarung oder ein entsprechender Vertrag vorgelegt werden. Die Aufnahmevereinbarung enthält alle geforderten Angaben, die sich auch in einem entsprechenden Vertrag wiederfinden müssen.                                



                                Kostenübernahmeerklärung                                


                                    Grundsätzlich muss sich die Forschungseinrichtung schriftlich zur Übernahme von Kosten verpflichten, die öffentlichen Stellen bis zu 6 Monate nach Beendigung der Aufnahmevereinbarung oder des Vertrages entstehen. Dazu zählen die Kosten für den Lebensunterhalt des Ausländers während eines unerlaubten Aufenthalts in einem EU-Mitgliedsstaat und für eine Abschiebung.

Eine Kostenübernahmeerklärung ist nicht erforderlich für Forschungseinrichtungen, die
aus öffentlichen Mitteln finanziert werden oderdie gegenüber dem Bundesamt für Migration und Flüchtlinge im Rahmen ihres Anerkennungsverfahrens eine allgemeine Kostenübernahmeerklärung abgegeben haben. 



                                Persönliche Vorsprache                                




                                Hauptwohnsitz in Berlin während des Aufenthalts zur Forschung"
Aufenthaltserlaubnis für wissenschaftliche Mitarbeiter und Forscher,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/328457/,ERFORDERLICHE UNTERLAGEN,"Gültiger Pass                                




                                        1 aktuelles biometrisches Foto


                                    35mm x 45mm, Frontalaufnahme mit neutralem Gesichtsausdruck und geschlossenem Mund gerade in die Kamera blickend, heller Hintergrund                                



                                Formular Antrag auf Erteilung eines Aufenthaltstitels (ausgefüllt)                                

                                    Nur für die erste Beantragung der Aufenthaltserlaubnis erforderlich                                



                                Aufnahmevereinbarung oder entsprechender Vertrag (im Original)                                

                                    Die Aufnahmevereinbarung ist in deutscher Sprache auszufüllen und kann zusätzlich in Englisch ergänzt werden.                                



                                Krankenversicherung                                

                                    Der Nachweis eines gesicherten Lebensunterhalts umfasst auch einen ausreichenden Krankenversicherungsschutz. Gesetzlich Krankenversicherte sind ausreichend versichert. Privat Krankenversicherte müssen auf Art und Umfang ihrer Krankenversicherung achten. Für mehr Informationen dazu lesen Sie bitte das Merkblatt.                                



                                Mietvertrag und Nachweis über die monatlichen Mietkosten                                



                                Nachweis über den Hauptwohnsitz in Berlin                                

Bescheinigung über die Anmeldung der Wohnung (Meldebestätigung) oderMietvertrag und Einzugsbestätigung des VermietersMehr zum Thema im Abschnitt „Weiterführende Informationen“"
Aufenthaltserlaubnis für wissenschaftliche Mitarbeiter und Forscher,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/328457/,FORMULARE,"Antrag auf Erteilung eines Aufenthaltstitels (Deutsch-Englisch-Französisch-Italienisch)





                                        Antrag auf Erteilung eines Aufenthaltstitels (Deutsch-Griechisch-Türkisch-Vietnamesisch)





                                        Antrag auf Erteilung einer Aufenthaltstitels (Deutsch-Spanisch-Portugiesisch-Russisch)





                                        Antrag auf Erteilung eines Aufenthaltstitels (Deutsch-Serbisch-Bosnisch)





                                        Muster Aufnahmevereinbarung"
Aufenthaltserlaubnis für wissenschaftliche Mitarbeiter und Forscher,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/328457/,GEBÜHREN,"100,00 Euro für die erstmalige Erteilung der Aufenthaltserlaubnis93,00 Euro für jede Verlängerung der AufenthaltserlaubnisTürkische Staatsangehörige (sowohl für die erste Erteilung als auch für die Verlängerung):
22,80 Euro: bis zum vollendeten 24. Lebensjahr37,00 Euro: ab dem vollendeten 24. Lebensjahr"
Aufenthaltserlaubnis für wissenschaftliche Mitarbeiter und Forscher,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/328457/,RECHTSGRUNDLAGEN,"Aufenthaltsgesetz (AufenthG) § 18d





                                        Richtlinie (EU) 2016/801"
Aufenthaltserlaubnis für wissenschaftliche Mitarbeiter und Forscher,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/328457/,DURCHSCHNITTLICHE BEARBEITUNGSZEIT,"Etwa 5-6 Wochen
Wir empfehlen deshalb eine Vorsprache 4 bis 6 Wochen bevor der bisherige Aufenthaltstitel abläuft. Buchen Sie dafür möglichst einen Termin."
Aufenthaltserlaubnis für wissenschaftliche Mitarbeiter und Forscher,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/328457/,WEITERFÜHRENDE INFORMATIONEN,"Bescheinigung über die Anmeldung einer Wohnung (Meldebestätigung)





                                    Muster: Einzugsbestätigung des Vermieters





                                    Kurzfristige Mobilität für Forscher nach § 18e Aufenthaltsgesetz





                                    Aufenthaltserlaubnis für mobile Forscher nach § 18f Aufenthaltsgesetz"
Aufenthaltserlaubnis für wissenschaftliche Mitarbeiter und Forscher,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/328457/,ZUSTÄNDIGE BEHÖRDEN,"Die Dienstleistung kann nur beim Landesamt für Einwanderung (LEA) am Standort Keplerstraße in Anspruch genommen werden.                




Landesamt für Einwanderung (LEA)




LEA, Keplerstr.
Termin buchen

Weitere zuständige Behörden für diese Dienstleistung im zentralen Service-Portal anzeigen."
Aufenthaltserlaubnis zur Beschäftigung als Au-pair,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/305267/,VORAUSSETZUNGEN,"Alter von 18 - 26 Jahren                                


                                    Bei Antragstellung darf das 27. Lebensjahr noch nicht vollendet sein.                                



                                Grundkenntnisse der deutschen Sprache sind vorhanden                                




                                bisher wurde in Deutschland noch nicht als Au-pair gearbeitet                                




                                Deutsch als Muttersprache in der Gastfamilie                                


                                    Eine Au-pair-Beschäftigung kann zugelassen werden, wenn in der Gastfamilie Deutsch als Muttersprache gesprochen wird.
Wird in der Gastfamilie Deutsch als Familiensprache gesprochen, kann die Beschäftigung nur dann erlaubt werden, wenn der oder die Beschäftigte nicht aus einem Heimatland der Gasteltern stammt.                                



                                Hauptwohnsitz in Berlin                                




                                Persönliche Vorsprache ist erforderlich"
Aufenthaltserlaubnis zur Beschäftigung als Au-pair,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/305267/,ERFORDERLICHE UNTERLAGEN,"Gültiger Pass                                




                                        1 aktuelles biometrisches Foto


                                    35mm x 45mm, Frontalaufnahme mit neutralem Gesichtsausdruck und geschlossenem Mund gerade in die Kamera blickend, heller Hintergrund                                



                                Formular ""Antrag auf Erteilung eines Aufenthaltstitels"" (ausgefüllt)                                



                                Au-pair-Vertrag mit der Gastfamilie                                



                                Formular ""Fragebogen Au-pair""                                 

                                    Auszufüllen von den Gasteltern                                



                                Krankenversicherung                                

                                    Der Nachweis eines gesicherten Lebensunterhalts umfasst auch einen ausreichenden Krankenversicherungsschutz. Gesetzlich Krankenversicherte sind ausreichend versichert. Privat Krankenversicherte müssen auf Art und Umfang ihrer Krankenversicherung achten. Für mehr Informationen dazu bitte das Merkblatt lesen."
Aufenthaltserlaubnis zur Beschäftigung als Au-pair,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/305267/,FORMULARE,"Antrag auf Erteilung eines Aufenthaltstitels (Deutsch-Englisch-Französisch-Italienisch)





                                        Antrag auf Erteilung eines Aufenthaltstitels (Deutsch-Griechisch-Türkisch-Vietnamesisch)





                                        Antrag auf Erteilung eines Aufenthaltstitels (Deutsch-Spanisch-Portugiesisch-Russisch)





                                        Antrag auf Erteilung eines Aufenthaltstitels (Deutsch-Serbisch-Bosnisch)





                                        Fragebogen Au-pair





                                        Merkblatt Krankenversicherung"
Aufenthaltserlaubnis zur Beschäftigung als Au-pair,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/305267/,GEBÜHREN,"100,00 EuroTürkische Staatsangehörige:
22,80 Euro: bis zum vollendeten 24. Lebensjahr37,00 Euro: ab dem vollendeten 24. Lebensjahr"
Aufenthaltserlaubnis zur Beschäftigung als Au-pair,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/305267/,RECHTSGRUNDLAGEN,"Aufenthaltsgesetz (AufenthG) § 19c Abs. 1





                                        Beschäftigungsverordnung (BeschV) § 12"
